id,parent_id,reverse_id,primary,,pl,en,priority,description,,
10,NULL,11,x,hiponimia,hiponimy,hyponyms,1,"Hipo-/hiperonimia to podstawowa relacja kształtujaca hierarchiczną strukturę słownictwa. Jest to relacja, którą można określić jako implikację jednostronną. Hiperonimia jest relacją między jednostkami należącymi do tej samej klasy fleksyjnej. Warunek: Jednostki leksykalne synsetu X stanowią rodzaj jednostek synsetu Y, istnieje jeszcze co najmniej jeden synset Z, którego jednostki są rodzajem jednostek leksykalnych synsetu Y.",,
11,NULL,10,,hiperonimia,hiperonimy,hypernyms,2,"Hipo-/hiperonimia to podstawowa relacja kształtująca hierarchiczną strukturę słownictwa.
Jest to relacja, którą można określić jako implikację jednostronną. Hiperonimia jest relacją między jednostkami należącymi do tej samej klasy fleksyjnej.",,
12,NULL,12,,antonimia,antonimy,antonyms,23,"Relacja antonimii wskazuje każdą znaczeniową przeciwstawność między jednostkami leksykalnymi, wyjąwszy konwersję. Do antonimów zaliczamy antonimy komplementarne jak kręgowiec -- bezkręgowiec, antonimy właściwe, np. dzień -- noc oraz antonimy kierunkowe, np. północ -- południe i antonimy kulturowe, np. anioł -- diabeł. Antonimia jest relacją zachodzącą między jednostkami o tej samej klasie gramatycznej.",,
13,NULL,13,,konwersja,konwersy,converses,24,"Konwersja to relacja odwrotności łącząca jednostki leksykalne. Relacja ta przedstawia to samo zjawisko z dwóch różnych stron. Konwersja jest częsta między leksemami należącymi do słownictwa opisującego role społeczne, stopnie pokrewieństwa, stosunki czasowe i przestrzenne. Mówiąc ściślej, konwersami są takie predykaty o co najmniej dwóch walencjach semantycznych, które mają ten sam zbiór walencji, ale różny układ aktantów dla tych samych walencji.",,
14,NULL,NULL,,meronimia,meronimy,meronyms,6,"Mero-/holonimia jest relacją cząstkowości, często wzajemnie odwrotną, zachodzi tylko wśród rzeczowników.",,
15,NULL,NULL,,holonimia,holonimy,holonyms ,8,"Mero-/holonimia jest relacją cząstkowości, często wzajemnie odwrotną, zachodzi tylko wśród rzeczowników.",,
19,NULL,19,,fuzzynimia,fuzzynimy,fuzzynyms,,,,
20,14,25,,część,części,meronyms_part,1,(dziedziczone),,
21,14,26,,porcja,porcje,meronyms_portion,2,(dziedziczone),,
22,14,27,,miejsce,miejsca,meronyms_place,3,(dziedziczone),,
23,14,28,,element kolekcji,elementy kolekcji,meronyms_element (of a collection),4,(dziedziczone),,
24,14,29,,materiał,materiały,meronyms_material,5,(dziedziczone),,
25,15,20,,część,części,holonyms_part,1,(dziedziczone),,
26,15,21,,porcja,porcje,holonyms_portion,2,(dziedziczone),,
27,15,22,,miejsce,miejsca,holonyms_place,3,(dziedziczone),,
28,15,23,,element kolekcji,elementy kolekcji,holonyms_element (of a collection),4,(dziedziczone),,
29,15,24,,materiał,materiały,holonyms_material,5,(dziedziczone),,
30,NULL,30,,synonimia,synonimy,synonyms,10,"Wszystkie jednostki należące do danego synsetu powinny wchodzić w te same relacje synsetów z tymi samymi jednostkami leksykalnymi. Oznacza to, że dwa synonimy są nierozróżnialne, patrząc wyłącznie na relacje synsetów, np. są hiponimami tego samego zbioru jednostek leksykalnych.",,
32,NULL,NULL,,rola,role,roles,,,,
