role,name,date
leader,Maciej Piasecki,
coordinator,Magdalena Derwojedowa,2006-2009
coordinator,Bożena Hojka,2010-2011
coordinator,Marek Maziarz,2010-
coordinator,Joanna Rabiega-Wiśniewska,2009-2010
coordinator,Ewa Rudnicka,
coordinator,Magdalena Zawisławska,2006-2009
consultants,Stanisław Szpakowicz,
developer,Łukasz Biłeńkij,
developer,Jacek Bochenek,
developer,Bartosz Broda,
developer,Łukasz Burdka,
developer,Łukasz Jastrzębski,
developer,Michał Kaliński,
developer,Paweł Kędzia,
developer,Jan Kocoń,
developer,Paweł Koczan,
developer,Roman Kurc,
developer,Michał Marcińczuk,
developer,Wojciech Mazur,
developer,Adam Musiał,
developer,Adam Pawlaczek,
developer,Maciej Piasecki,
developer,Marcin Ptak,
developer,Adam Radziszewski,
developer,Radosław Ramocki,
developer,Błażej Ryśnik,
developer,Michał Stanek,
developer,Adam Stankiewicz,
developer,Tomasz Śniatowski,
lexograph,Kinga Banderowicz,
lexograph,Magdalena Bańka-Kowalczyk,
lexograph,Jan Bieda,
lexograph,Amelia Biegalska,
lexograph,Joanna Bilińska,
lexograph,Marta Błaszczak,
lexograph,Marta Dobrowolska,
lexograph,Agnieszka Dziob,
lexograph,Elżbieta Filipczuk,
lexograph,Maria Głąbska,
lexograph,Ewa Gwiazdecka,
lexograph,Katarzyna Hołojda,
lexograph,Amelia Kiełbawska,
lexograph,Dorota Lewandowska,
lexograph,Justyna Ławniczak,
lexograph,Paulina Łazarewicz,
lexograph,Natalia Kaśków,
lexograph,Jan Klajn,
lexograph,Katarzyna Klajn,
lexograph,Małgorzata Kościelniak,
lexograph,Patrycja Krysiak,
lexograph,Kamil Kurpiel,
lexograph,Jadwiga Maksym,
lexograph,Justyna Markowicz,
lexograph,Kacper Paszke,
lexograph,Aleksandra Pawlikowska,
lexograph,Natalia Podbielska,
lexograph,Katarzyna Podlaska,
lexograph,Marek Pustowaruk,
lexograph,Anna Romańska,
lexograph,Kamila Rozenek,
lexograph,Urszula Rezler,
lexograph,Joanna Stankiewicz,
lexograph,Tomasz Stępień,
lexograph,Jan Wieczorek,
lexograph,Joanna Wieczorek,
lexograph,Wojciech Witkowski,
lexograph,Beata Wójtowicz,
